 chunk size   | source stride      | dest stride        | #chunks  | volume       | cudaMemcpy      | kernel          
==============+====================+====================+==========+==============+=================+=================
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |      61.52 MB/s |   3,474.93 MB/s
      4 bytes |            8 bytes |            4 bytes |   65,536 |       256 KB |      61.47 MB/s |   3,463.59 MB/s
      4 bytes |           16 bytes |            4 bytes |   65,536 |       256 KB |      61.40 MB/s |   3,473.97 MB/s
      4 bytes |           32 bytes |            4 bytes |   65,536 |       256 KB |      64.07 MB/s |   4,542.54 MB/s
      4 bytes |           64 bytes |            4 bytes |   65,536 |       256 KB |      72.63 MB/s |   4,443.07 MB/s
      4 bytes |          128 bytes |            4 bytes |   65,536 |       256 KB |      69.57 MB/s |   3,406.52 MB/s
      4 bytes |          256 bytes |            4 bytes |   65,536 |       256 KB |      68.29 MB/s |   4,450.69 MB/s
      4 bytes |          512 bytes |            4 bytes |   65,536 |       256 KB |      72.98 MB/s |   4,449.55 MB/s
      4 bytes |        1,024 bytes |            4 bytes |   65,536 |       256 KB |      66.19 MB/s |   3,348.43 MB/s
      4 bytes |        2,048 bytes |            4 bytes |   65,536 |       256 KB |      63.42 MB/s |   4,348.94 MB/s
      4 bytes |        4,096 bytes |            4 bytes |   65,536 |       256 KB |      68.28 MB/s |   4,226.32 MB/s
      4 bytes |        8,192 bytes |            4 bytes |   65,536 |       256 KB |      64.69 MB/s |   3,291.50 MB/s
      4 bytes |       16,384 bytes |            4 bytes |   65,536 |       256 KB |      63.88 MB/s |   4,319.20 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |      71.34 MB/s |   4,578.64 MB/s
      4 bytes |            4 bytes |            8 bytes |   65,536 |       256 KB |      69.38 MB/s |      60.83 MB/s
      4 bytes |            4 bytes |           16 bytes |   65,536 |       256 KB |      73.42 MB/s |      72.35 MB/s
      4 bytes |            4 bytes |           32 bytes |   65,536 |       256 KB |     146.39 MB/s |      98.42 MB/s
      4 bytes |            4 bytes |           64 bytes |   65,536 |       256 KB |   1,588.82 MB/s |     293.59 MB/s
      4 bytes |            4 bytes |          128 bytes |   65,536 |       256 KB |   1,512.41 MB/s |     149.28 MB/s
      4 bytes |            4 bytes |          256 bytes |   65,536 |       256 KB |   1,121.59 MB/s |     149.37 MB/s
      4 bytes |            4 bytes |          512 bytes |   65,536 |       256 KB |     717.65 MB/s |     148.23 MB/s
      4 bytes |            4 bytes |        1,024 bytes |   65,536 |       256 KB |     441.88 MB/s |     111.12 MB/s
      4 bytes |            4 bytes |        2,048 bytes |   65,536 |       256 KB |     170.53 MB/s |     111.24 MB/s
      4 bytes |            4 bytes |        4,096 bytes |   65,536 |       256 KB |      84.93 MB/s |     111.09 MB/s
      4 bytes |            4 bytes |        8,192 bytes |   65,536 |       256 KB |      85.00 MB/s |     130.78 MB/s
      4 bytes |            4 bytes |       16,384 bytes |   65,536 |       256 KB |     481.27 MB/s |     148.70 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |      72.35 MB/s |   4,535.47 MB/s
      4 bytes |            8 bytes |            8 bytes |   65,536 |       256 KB |      64.75 MB/s |      60.48 MB/s
      4 bytes |           16 bytes |           16 bytes |   65,536 |       256 KB |      73.65 MB/s |      72.41 MB/s
      4 bytes |           32 bytes |           32 bytes |   65,536 |       256 KB |     146.42 MB/s |      95.51 MB/s
      4 bytes |           64 bytes |           64 bytes |   65,536 |       256 KB |   1,586.42 MB/s |     222.16 MB/s
      4 bytes |          128 bytes |          128 bytes |   65,536 |       256 KB |   1,141.46 MB/s |     112.04 MB/s
      4 bytes |          256 bytes |          256 bytes |   65,536 |       256 KB |     847.09 MB/s |     111.60 MB/s
      4 bytes |          512 bytes |          512 bytes |   65,536 |       256 KB |     540.18 MB/s |     111.06 MB/s
      4 bytes |        1,024 bytes |        1,024 bytes |   65,536 |       256 KB |     333.04 MB/s |     110.93 MB/s
      4 bytes |        2,048 bytes |        2,048 bytes |   65,536 |       256 KB |     170.47 MB/s |     110.91 MB/s
      4 bytes |        4,096 bytes |        4,096 bytes |   65,536 |       256 KB |      84.92 MB/s |     111.05 MB/s
      4 bytes |        8,192 bytes |        8,192 bytes |   65,536 |       256 KB |      84.99 MB/s |     111.04 MB/s
      4 bytes |       16,384 bytes |       16,384 bytes |   65,536 |       256 KB |     454.25 MB/s |     111.38 MB/s
==============+====================+====================+==========+==============+=================+=================
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |     124.88 MB/s |   3,576.48 MB/s
      8 bytes |           16 bytes |            8 bytes |   65,536 |       512 KB |     124.96 MB/s |   3,582.35 MB/s
      8 bytes |           32 bytes |            8 bytes |   65,536 |       512 KB |     124.89 MB/s |   3,506.96 MB/s
      8 bytes |           64 bytes |            8 bytes |   65,536 |       512 KB |     124.91 MB/s |   3,485.86 MB/s
      8 bytes |          128 bytes |            8 bytes |   65,536 |       512 KB |     124.86 MB/s |   3,458.98 MB/s
      8 bytes |          256 bytes |            8 bytes |   65,536 |       512 KB |     124.77 MB/s |   3,470.17 MB/s
      8 bytes |          512 bytes |            8 bytes |   65,536 |       512 KB |     124.99 MB/s |   3,521.14 MB/s
      8 bytes |        1,024 bytes |            8 bytes |   65,536 |       512 KB |     124.96 MB/s |   3,443.46 MB/s
      8 bytes |        2,048 bytes |            8 bytes |   65,536 |       512 KB |     124.94 MB/s |   3,551.48 MB/s
      8 bytes |        4,096 bytes |            8 bytes |   65,536 |       512 KB |     124.93 MB/s |   3,455.95 MB/s
