 chunk size   | source stride      | dest stride        | #chunks  | volume       | cudaMemcpy      | kernel          
==============+====================+====================+==========+==============+=================+=================
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     722.74 MB/s |  18,879.79 MB/s
      4 bytes |            8 bytes |            4 bytes |   65,536 |       256 KB |   1,194.20 MB/s |  11,000.63 MB/s
      4 bytes |           16 bytes |            4 bytes |   65,536 |       256 KB |   1,406.36 MB/s |   6,055.70 MB/s
      4 bytes |           32 bytes |            4 bytes |   65,536 |       256 KB |   1,407.86 MB/s |   3,181.22 MB/s
      4 bytes |           64 bytes |            4 bytes |   65,536 |       256 KB |   1,408.12 MB/s |   1,940.11 MB/s
      4 bytes |          128 bytes |            4 bytes |   65,536 |       256 KB |   1,277.34 MB/s |   1,941.07 MB/s
      4 bytes |          256 bytes |            4 bytes |   65,536 |       256 KB |   1,409.18 MB/s |   1,941.07 MB/s
      4 bytes |          512 bytes |            4 bytes |   65,536 |       256 KB |   1,409.43 MB/s |   1,940.64 MB/s
      4 bytes |        1,024 bytes |            4 bytes |   65,536 |       256 KB |   1,409.38 MB/s |   1,940.48 MB/s
      4 bytes |        2,048 bytes |            4 bytes |   65,536 |       256 KB |   1,392.27 MB/s |   1,941.16 MB/s
      4 bytes |        4,096 bytes |            4 bytes |   65,536 |       256 KB |     841.89 MB/s |   1,941.32 MB/s
      4 bytes |        8,192 bytes |            4 bytes |   65,536 |       256 KB |     525.21 MB/s |   1,941.01 MB/s
      4 bytes |       16,384 bytes |            4 bytes |   65,536 |       256 KB |     450.63 MB/s |   1,526.41 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     798.31 MB/s |  19,037.47 MB/s
      4 bytes |            4 bytes |            8 bytes |   65,536 |       256 KB |     793.17 MB/s |  19,088.76 MB/s
      4 bytes |            4 bytes |           16 bytes |   65,536 |       256 KB |     799.71 MB/s |  19,077.51 MB/s
      4 bytes |            4 bytes |           32 bytes |   65,536 |       256 KB |     797.95 MB/s |  19,076.12 MB/s
      4 bytes |            4 bytes |           64 bytes |   65,536 |       256 KB |     795.99 MB/s |  19,016.75 MB/s
      4 bytes |            4 bytes |          128 bytes |   65,536 |       256 KB |     800.21 MB/s |  18,952.13 MB/s
      4 bytes |            4 bytes |          256 bytes |   65,536 |       256 KB |     799.49 MB/s |  19,015.23 MB/s
      4 bytes |            4 bytes |          512 bytes |   65,536 |       256 KB |     800.24 MB/s |  19,020.89 MB/s
      4 bytes |            4 bytes |        1,024 bytes |   65,536 |       256 KB |     801.90 MB/s |  18,979.58 MB/s
      4 bytes |            4 bytes |        2,048 bytes |   65,536 |       256 KB |     800.17 MB/s |  18,718.02 MB/s
      4 bytes |            4 bytes |        4,096 bytes |   65,536 |       256 KB |     797.26 MB/s |  18,656.74 MB/s
      4 bytes |            4 bytes |        8,192 bytes |   65,536 |       256 KB |     796.45 MB/s |  18,730.06 MB/s
      4 bytes |            4 bytes |       16,384 bytes |   65,536 |       256 KB |     794.86 MB/s |  18,816.10 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     799.11 MB/s |  19,626.11 MB/s
      4 bytes |            8 bytes |            8 bytes |   65,536 |       256 KB |   1,144.81 MB/s |  11,259.56 MB/s
      4 bytes |           16 bytes |           16 bytes |   65,536 |       256 KB |   1,608.56 MB/s |   6,115.60 MB/s
      4 bytes |           32 bytes |           32 bytes |   65,536 |       256 KB |   1,611.98 MB/s |   3,197.01 MB/s
      4 bytes |           64 bytes |           64 bytes |   65,536 |       256 KB |   1,610.23 MB/s |   1,944.82 MB/s
      4 bytes |          128 bytes |          128 bytes |   65,536 |       256 KB |   1,613.77 MB/s |   1,943.63 MB/s
      4 bytes |          256 bytes |          256 bytes |   65,536 |       256 KB |   1,450.51 MB/s |   1,943.86 MB/s
      4 bytes |          512 bytes |          512 bytes |   65,536 |       256 KB |   1,614.86 MB/s |   1,943.49 MB/s
      4 bytes |        1,024 bytes |        1,024 bytes |   65,536 |       256 KB |   1,613.57 MB/s |   1,944.50 MB/s
      4 bytes |        2,048 bytes |        2,048 bytes |   65,536 |       256 KB |   1,600.82 MB/s |   1,944.90 MB/s
      4 bytes |        4,096 bytes |        4,096 bytes |   65,536 |       256 KB |     965.90 MB/s |   1,943.42 MB/s
      4 bytes |        8,192 bytes |        8,192 bytes |   65,536 |       256 KB |     604.44 MB/s |   1,944.71 MB/s
      4 bytes |       16,384 bytes |       16,384 bytes |   65,536 |       256 KB |     527.88 MB/s |   1,319.87 MB/s
==============+====================+====================+==========+==============+=================+=================
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,770.73 MB/s |  22,598.82 MB/s
      8 bytes |           16 bytes |            8 bytes |   65,536 |       512 KB |   3,222.48 MB/s |  12,249.20 MB/s
      8 bytes |           32 bytes |            8 bytes |   65,536 |       512 KB |   3,226.65 MB/s |   6,391.37 MB/s
      8 bytes |           64 bytes |            8 bytes |   65,536 |       512 KB |   3,227.86 MB/s |   3,891.13 MB/s
      8 bytes |          128 bytes |            8 bytes |   65,536 |       512 KB |   3,228.25 MB/s |   3,892.52 MB/s
      8 bytes |          256 bytes |            8 bytes |   65,536 |       512 KB |   3,228.39 MB/s |   3,890.87 MB/s
      8 bytes |          512 bytes |            8 bytes |   65,536 |       512 KB |   3,223.91 MB/s |   3,892.35 MB/s
      8 bytes |        1,024 bytes |            8 bytes |   65,536 |       512 KB |   3,228.18 MB/s |   3,890.84 MB/s
      8 bytes |        2,048 bytes |            8 bytes |   65,536 |       512 KB |   3,202.83 MB/s |   3,890.18 MB/s
      8 bytes |        4,096 bytes |            8 bytes |   65,536 |       512 KB |   1,933.68 MB/s |   3,890.81 MB/s
      8 bytes |        8,192 bytes |            8 bytes |   65,536 |       512 KB |   1,207.99 MB/s |   3,890.67 MB/s
      8 bytes |       16,384 bytes |            8 bytes |   65,536 |       512 KB |   1,069.78 MB/s |   3,513.45 MB/s
      8 bytes |       32,768 bytes |            8 bytes |   65,536 |       512 KB |     901.27 MB/s |   1,777.23 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,796.68 MB/s |  22,593.95 MB/s
      8 bytes |            8 bytes |           16 bytes |   65,536 |       512 KB |   2,799.82 MB/s |  22,586.06 MB/s
      8 bytes |            8 bytes |           32 bytes |   65,536 |       512 KB |   2,306.61 MB/s |  22,577.31 MB/s
      8 bytes |            8 bytes |           64 bytes |   65,536 |       512 KB |   2,396.80 MB/s |  22,533.74 MB/s
      8 bytes |            8 bytes |          128 bytes |   65,536 |       512 KB |   2,400.12 MB/s |  22,534.61 MB/s
      8 bytes |            8 bytes |          256 bytes |   65,536 |       512 KB |   2,396.76 MB/s |  22,506.65 MB/s
      8 bytes |            8 bytes |          512 bytes |   65,536 |       512 KB |   2,399.36 MB/s |  22,501.73 MB/s
      8 bytes |            8 bytes |        1,024 bytes |   65,536 |       512 KB |   2,399.34 MB/s |  22,532.67 MB/s
      8 bytes |            8 bytes |        2,048 bytes |   65,536 |       512 KB |   2,400.50 MB/s |  22,512.45 MB/s
