 chunk size   | source stride      | dest stride        | #chunks  | volume       | cudaMemcpy      | kernel          
==============+====================+====================+==========+==============+=================+=================
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |  13,009.11 MB/s |  55,178.92 MB/s
      4 bytes |            8 bytes |            4 bytes |   65,536 |       256 KB |  13,011.56 MB/s |  54,649.77 MB/s
      4 bytes |           16 bytes |            4 bytes |   65,536 |       256 KB |  12,941.36 MB/s |  54,244.92 MB/s
      4 bytes |           32 bytes |            4 bytes |   65,536 |       256 KB |  12,928.27 MB/s |  53,616.95 MB/s
      4 bytes |           64 bytes |            4 bytes |   65,536 |       256 KB |  12,932.29 MB/s |  51,322.29 MB/s
      4 bytes |          128 bytes |            4 bytes |   65,536 |       256 KB |  12,845.85 MB/s |  51,929.24 MB/s
      4 bytes |          256 bytes |            4 bytes |   65,536 |       256 KB |  12,867.61 MB/s |  49,650.37 MB/s
      4 bytes |          512 bytes |            4 bytes |   65,536 |       256 KB |  12,868.17 MB/s |  50,721.51 MB/s
      4 bytes |        1,024 bytes |            4 bytes |   65,536 |       256 KB |  12,868.99 MB/s |  51,232.02 MB/s
      4 bytes |        2,048 bytes |            4 bytes |   65,536 |       256 KB |  12,817.77 MB/s |  50,682.29 MB/s
      4 bytes |        4,096 bytes |            4 bytes |   65,536 |       256 KB |  12,848.62 MB/s |  50,285.63 MB/s
      4 bytes |        8,192 bytes |            4 bytes |   65,536 |       256 KB |  12,777.41 MB/s |  50,577.66 MB/s
      4 bytes |       16,384 bytes |            4 bytes |   65,536 |       256 KB |  12,844.03 MB/s |  51,309.23 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |  13,071.38 MB/s |  55,263.83 MB/s
      4 bytes |            4 bytes |            8 bytes |   65,536 |       256 KB |  13,044.20 MB/s |  54,307.85 MB/s
      4 bytes |            4 bytes |           16 bytes |   65,536 |       256 KB |  13,110.87 MB/s |  54,846.43 MB/s
      4 bytes |            4 bytes |           32 bytes |   65,536 |       256 KB |  13,063.70 MB/s |  53,993.53 MB/s
      4 bytes |            4 bytes |           64 bytes |   65,536 |       256 KB |  13,105.56 MB/s |  52,098.50 MB/s
      4 bytes |            4 bytes |          128 bytes |   65,536 |       256 KB |  13,003.95 MB/s |  50,460.83 MB/s
      4 bytes |            4 bytes |          256 bytes |   65,536 |       256 KB |  13,074.51 MB/s |  51,003.76 MB/s
      4 bytes |            4 bytes |          512 bytes |   65,536 |       256 KB |  13,024.62 MB/s |  49,754.97 MB/s
      4 bytes |            4 bytes |        1,024 bytes |   65,536 |       256 KB |  13,109.49 MB/s |  50,999.79 MB/s
      4 bytes |            4 bytes |        2,048 bytes |   65,536 |       256 KB |  13,066.24 MB/s |  50,733.29 MB/s
      4 bytes |            4 bytes |        4,096 bytes |   65,536 |       256 KB |  13,120.32 MB/s |  49,789.93 MB/s
      4 bytes |            4 bytes |        8,192 bytes |   65,536 |       256 KB |  13,119.93 MB/s |  50,657.80 MB/s
      4 bytes |            4 bytes |       16,384 bytes |   65,536 |       256 KB |  13,107.99 MB/s |  49,453.67 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |  13,095.28 MB/s |  54,875.13 MB/s
      4 bytes |            8 bytes |            8 bytes |   65,536 |       256 KB |  13,035.63 MB/s |  54,306.73 MB/s
      4 bytes |           16 bytes |           16 bytes |   65,536 |       256 KB |  13,077.84 MB/s |  54,281.99 MB/s
      4 bytes |           32 bytes |           32 bytes |   65,536 |       256 KB |  13,137.81 MB/s |  51,736.56 MB/s
      4 bytes |           64 bytes |           64 bytes |   65,536 |       256 KB |  13,062.72 MB/s |  49,516.25 MB/s
      4 bytes |          128 bytes |          128 bytes |   65,536 |       256 KB |  12,978.65 MB/s |  45,253.42 MB/s
      4 bytes |          256 bytes |          256 bytes |   65,536 |       256 KB |  12,998.98 MB/s |  45,574.41 MB/s
      4 bytes |          512 bytes |          512 bytes |   65,536 |       256 KB |  13,017.32 MB/s |  45,788.55 MB/s
      4 bytes |        1,024 bytes |        1,024 bytes |   65,536 |       256 KB |  13,079.28 MB/s |  44,295.30 MB/s
      4 bytes |        2,048 bytes |        2,048 bytes |   65,536 |       256 KB |  13,120.71 MB/s |  44,496.80 MB/s
      4 bytes |        4,096 bytes |        4,096 bytes |   65,536 |       256 KB |  13,001.88 MB/s |  43,522.38 MB/s
      4 bytes |        8,192 bytes |        8,192 bytes |   65,536 |       256 KB |  13,040.17 MB/s |  39,808.66 MB/s
      4 bytes |       16,384 bytes |       16,384 bytes |   65,536 |       256 KB |  12,724.14 MB/s |  41,988.72 MB/s
==============+====================+====================+==========+==============+=================+=================
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |  26,083.07 MB/s |  82,239.96 MB/s
      8 bytes |           16 bytes |            8 bytes |   65,536 |       512 KB |  26,025.97 MB/s |  80,488.81 MB/s
      8 bytes |           32 bytes |            8 bytes |   65,536 |       512 KB |  26,037.73 MB/s |  80,486.34 MB/s
      8 bytes |           64 bytes |            8 bytes |   65,536 |       512 KB |  25,843.42 MB/s |  78,662.87 MB/s
      8 bytes |          128 bytes |            8 bytes |   65,536 |       512 KB |  25,998.87 MB/s |  78,627.47 MB/s
      8 bytes |          256 bytes |            8 bytes |   65,536 |       512 KB |  26,082.68 MB/s |  80,301.42 MB/s
      8 bytes |          512 bytes |            8 bytes |   65,536 |       512 KB |  26,145.12 MB/s |  79,568.99 MB/s
      8 bytes |        1,024 bytes |            8 bytes |   65,536 |       512 KB |  25,997.06 MB/s |  77,054.72 MB/s
      8 bytes |        2,048 bytes |            8 bytes |   65,536 |       512 KB |  26,020.93 MB/s |  77,115.92 MB/s
      8 bytes |        4,096 bytes |            8 bytes |   65,536 |       512 KB |  25,958.96 MB/s |  77,741.40 MB/s
      8 bytes |        8,192 bytes |            8 bytes |   65,536 |       512 KB |  25,906.63 MB/s |  78,150.46 MB/s
      8 bytes |       16,384 bytes |            8 bytes |   65,536 |       512 KB |  25,887.57 MB/s |  77,547.07 MB/s
      8 bytes |       32,768 bytes |            8 bytes |   65,536 |       512 KB |  25,963.85 MB/s |  76,842.40 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |  26,075.29 MB/s |  82,017.40 MB/s
      8 bytes |            8 bytes |           16 bytes |   65,536 |       512 KB |  26,080.48 MB/s |  82,010.98 MB/s
      8 bytes |            8 bytes |           32 bytes |   65,536 |       512 KB |  26,006.61 MB/s |  81,709.34 MB/s
      8 bytes |            8 bytes |           64 bytes |   65,536 |       512 KB |  26,060.90 MB/s |  80,523.42 MB/s
      8 bytes |            8 bytes |          128 bytes |   65,536 |       512 KB |  26,021.32 MB/s |  80,669.62 MB/s
      8 bytes |            8 bytes |          256 bytes |   65,536 |       512 KB |  26,081.77 MB/s |  80,616.28 MB/s
      8 bytes |            8 bytes |          512 bytes |   65,536 |       512 KB |  26,029.72 MB/s |  80,470.28 MB/s
      8 bytes |            8 bytes |        1,024 bytes |   65,536 |       512 KB |  25,976.20 MB/s |  79,567.78 MB/s
      8 bytes |            8 bytes |        2,048 bytes |   65,536 |       512 KB |  25,990.36 MB/s |  79,991.46 MB/s
      8 bytes |            8 bytes |        4,096 bytes |   65,536 |       512 KB |  26,064.01 MB/s |  79,848.92 MB/s
      8 bytes |            8 bytes |        8,192 bytes |   65,536 |       512 KB |  25,991.39 MB/s |  79,886.64 MB/s
      8 bytes |            8 bytes |       16,384 bytes |   65,536 |       512 KB |  26,042.13 MB/s |  81,449.12 MB/s
      8 bytes |            8 bytes |       32,768 bytes |   65,536 |       512 KB |  26,006.74 MB/s |  78,192.42 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |  26,107.88 MB/s |  82,034.08 MB/s
      8 bytes |           16 bytes |           16 bytes |   65,536 |       512 KB |  25,989.72 MB/s |  81,884.18 MB/s
      8 bytes |           32 bytes |           32 bytes |   65,536 |       512 KB |  26,288.53 MB/s |  80,174.94 MB/s
      8 bytes |           64 bytes |           64 bytes |   65,536 |       512 KB |  26,049.64 MB/s |  79,041.17 MB/s
