 chunk size   | source stride      | dest stride        | #chunks  | volume       | cudaMemcpy      | kernel          
==============+====================+====================+==========+==============+=================+=================
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     364.01 MB/s |  14,901.06 MB/s
      4 bytes |            8 bytes |            4 bytes |   65,536 |       256 KB |   1,094.46 MB/s |   9,342.43 MB/s
      4 bytes |           16 bytes |            4 bytes |   65,536 |       256 KB |   1,174.65 MB/s |   5,323.62 MB/s
      4 bytes |           32 bytes |            4 bytes |   65,536 |       256 KB |   1,173.14 MB/s |   2,863.67 MB/s
      4 bytes |           64 bytes |            4 bytes |   65,536 |       256 KB |   1,169.89 MB/s |   1,794.30 MB/s
      4 bytes |          128 bytes |            4 bytes |   65,536 |       256 KB |   1,153.57 MB/s |   1,164.60 MB/s
      4 bytes |          256 bytes |            4 bytes |   65,536 |       256 KB |   1,129.75 MB/s |   1,165.56 MB/s
      4 bytes |          512 bytes |            4 bytes |   65,536 |       256 KB |   1,085.73 MB/s |   1,165.30 MB/s
      4 bytes |        1,024 bytes |            4 bytes |   65,536 |       256 KB |   1,018.14 MB/s |   1,164.71 MB/s
      4 bytes |        2,048 bytes |            4 bytes |   65,536 |       256 KB |     945.13 MB/s |   1,164.73 MB/s
      4 bytes |        4,096 bytes |            4 bytes |   65,536 |       256 KB |     484.28 MB/s |   1,164.82 MB/s
      4 bytes |        8,192 bytes |            4 bytes |   65,536 |       256 KB |     310.55 MB/s |   1,164.72 MB/s
      4 bytes |       16,384 bytes |            4 bytes |   65,536 |       256 KB |     267.24 MB/s |   1,165.33 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     365.64 MB/s |  15,027.32 MB/s
      4 bytes |            4 bytes |            8 bytes |   65,536 |       256 KB |     364.15 MB/s |  14,930.68 MB/s
      4 bytes |            4 bytes |           16 bytes |   65,536 |       256 KB |     365.64 MB/s |  14,818.10 MB/s
      4 bytes |            4 bytes |           32 bytes |   65,536 |       256 KB |     365.53 MB/s |  14,924.65 MB/s
      4 bytes |            4 bytes |           64 bytes |   65,536 |       256 KB |     365.59 MB/s |  15,513.77 MB/s
      4 bytes |            4 bytes |          128 bytes |   65,536 |       256 KB |     363.39 MB/s |  15,375.01 MB/s
      4 bytes |            4 bytes |          256 bytes |   65,536 |       256 KB |     365.78 MB/s |  15,444.67 MB/s
      4 bytes |            4 bytes |          512 bytes |   65,536 |       256 KB |     365.91 MB/s |  15,414.43 MB/s
      4 bytes |            4 bytes |        1,024 bytes |   65,536 |       256 KB |     365.77 MB/s |  15,435.40 MB/s
      4 bytes |            4 bytes |        2,048 bytes |   65,536 |       256 KB |     365.62 MB/s |  15,425.41 MB/s
      4 bytes |            4 bytes |        4,096 bytes |   65,536 |       256 KB |     365.91 MB/s |  15,450.32 MB/s
      4 bytes |            4 bytes |        8,192 bytes |   65,536 |       256 KB |     365.57 MB/s |  15,379.07 MB/s
      4 bytes |            4 bytes |       16,384 bytes |   65,536 |       256 KB |     365.55 MB/s |  15,406.73 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     365.57 MB/s |  15,593.32 MB/s
      4 bytes |            8 bytes |            8 bytes |   65,536 |       256 KB |   1,095.42 MB/s |   9,537.99 MB/s
      4 bytes |           16 bytes |           16 bytes |   65,536 |       256 KB |   1,177.78 MB/s |   5,380.25 MB/s
      4 bytes |           32 bytes |           32 bytes |   65,536 |       256 KB |   1,177.37 MB/s |   2,879.84 MB/s
      4 bytes |           64 bytes |           64 bytes |   65,536 |       256 KB |   1,176.86 MB/s |   1,799.11 MB/s
      4 bytes |          128 bytes |          128 bytes |   65,536 |       256 KB |   1,176.96 MB/s |   1,167.91 MB/s
      4 bytes |          256 bytes |          256 bytes |   65,536 |       256 KB |   1,176.40 MB/s |   1,167.77 MB/s
      4 bytes |          512 bytes |          512 bytes |   65,536 |       256 KB |   1,171.22 MB/s |   1,168.31 MB/s
      4 bytes |        1,024 bytes |        1,024 bytes |   65,536 |       256 KB |   1,132.38 MB/s |   1,167.87 MB/s
      4 bytes |        2,048 bytes |        2,048 bytes |   65,536 |       256 KB |   1,062.88 MB/s |   1,167.89 MB/s
      4 bytes |        4,096 bytes |        4,096 bytes |   65,536 |       256 KB |     544.09 MB/s |   1,168.10 MB/s
      4 bytes |        8,192 bytes |        8,192 bytes |   65,536 |       256 KB |     349.55 MB/s |   1,167.75 MB/s
      4 bytes |       16,384 bytes |       16,384 bytes |   65,536 |       256 KB |     299.92 MB/s |   1,168.28 MB/s
==============+====================+====================+==========+==============+=================+=================
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,180.07 MB/s |  19,032.70 MB/s
      8 bytes |           16 bytes |            8 bytes |   65,536 |       512 KB |   2,353.99 MB/s |  10,743.25 MB/s
      8 bytes |           32 bytes |            8 bytes |   65,536 |       512 KB |   2,355.61 MB/s |   5,760.47 MB/s
      8 bytes |           64 bytes |            8 bytes |   65,536 |       512 KB |   2,352.88 MB/s |   3,609.11 MB/s
      8 bytes |          128 bytes |            8 bytes |   65,536 |       512 KB |   2,354.36 MB/s |   2,334.79 MB/s
      8 bytes |          256 bytes |            8 bytes |   65,536 |       512 KB |   2,352.89 MB/s |   2,335.73 MB/s
      8 bytes |          512 bytes |            8 bytes |   65,536 |       512 KB |   2,343.03 MB/s |   2,335.88 MB/s
      8 bytes |        1,024 bytes |            8 bytes |   65,536 |       512 KB |   2,263.01 MB/s |   2,335.91 MB/s
      8 bytes |        2,048 bytes |            8 bytes |   65,536 |       512 KB |   2,127.40 MB/s |   2,334.05 MB/s
      8 bytes |        4,096 bytes |            8 bytes |   65,536 |       512 KB |   1,089.50 MB/s |   2,335.87 MB/s
      8 bytes |        8,192 bytes |            8 bytes |   65,536 |       512 KB |     698.48 MB/s |   2,335.56 MB/s
      8 bytes |       16,384 bytes |            8 bytes |   65,536 |       512 KB |     601.24 MB/s |   2,335.40 MB/s
      8 bytes |       32,768 bytes |            8 bytes |   65,536 |       512 KB |     516.53 MB/s |   1,006.10 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,180.64 MB/s |  18,934.82 MB/s
      8 bytes |            8 bytes |           16 bytes |   65,536 |       512 KB |   2,190.98 MB/s |  18,932.90 MB/s
      8 bytes |            8 bytes |           32 bytes |   65,536 |       512 KB |   2,187.22 MB/s |  18,905.25 MB/s
      8 bytes |            8 bytes |           64 bytes |   65,536 |       512 KB |   2,187.26 MB/s |  18,885.64 MB/s
      8 bytes |            8 bytes |          128 bytes |   65,536 |       512 KB |   2,195.52 MB/s |  19,039.75 MB/s
      8 bytes |            8 bytes |          256 bytes |   65,536 |       512 KB |   2,187.20 MB/s |  19,015.16 MB/s
      8 bytes |            8 bytes |          512 bytes |   65,536 |       512 KB |   2,189.77 MB/s |  18,959.60 MB/s
      8 bytes |            8 bytes |        1,024 bytes |   65,536 |       512 KB |   2,194.39 MB/s |  18,807.93 MB/s
      8 bytes |            8 bytes |        2,048 bytes |   65,536 |       512 KB |   2,185.94 MB/s |  18,953.30 MB/s
      8 bytes |            8 bytes |        4,096 bytes |   65,536 |       512 KB |   2,190.96 MB/s |  18,905.18 MB/s
