 chunk size   | source stride      | dest stride        | #chunks  | volume       | cudaMemcpy      | kernel          
==============+====================+====================+==========+==============+=================+=================
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |  14,402.01 MB/s |  76,650.29 MB/s
      4 bytes |            8 bytes |            4 bytes |   65,536 |       256 KB |  14,436.91 MB/s |  76,248.98 MB/s
      4 bytes |           16 bytes |            4 bytes |   65,536 |       256 KB |  14,508.02 MB/s |  76,990.22 MB/s
      4 bytes |           32 bytes |            4 bytes |   65,536 |       256 KB |  14,507.22 MB/s |  76,027.84 MB/s
      4 bytes |           64 bytes |            4 bytes |   65,536 |       256 KB |  14,529.73 MB/s |  76,674.95 MB/s
      4 bytes |          128 bytes |            4 bytes |   65,536 |       256 KB |  11,651.93 MB/s |  51,050.44 MB/s
      4 bytes |          256 bytes |            4 bytes |   65,536 |       256 KB |  11,644.17 MB/s |  50,392.93 MB/s
      4 bytes |          512 bytes |            4 bytes |   65,536 |       256 KB |  11,564.09 MB/s |  46,528.93 MB/s
      4 bytes |        1,024 bytes |            4 bytes |   65,536 |       256 KB |  11,821.65 MB/s |  29,617.44 MB/s
      4 bytes |        2,048 bytes |            4 bytes |   65,536 |       256 KB |  11,800.95 MB/s |  30,034.83 MB/s
      4 bytes |        4,096 bytes |            4 bytes |   65,536 |       256 KB |  11,934.13 MB/s |  25,119.44 MB/s
      4 bytes |        8,192 bytes |            4 bytes |   65,536 |       256 KB |  11,703.95 MB/s |  24,369.85 MB/s
      4 bytes |       16,384 bytes |            4 bytes |   65,536 |       256 KB |  11,761.72 MB/s |  24,154.06 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |  14,411.51 MB/s |  76,945.02 MB/s
      4 bytes |            4 bytes |            8 bytes |   65,536 |       256 KB |  14,509.63 MB/s |  77,214.73 MB/s
      4 bytes |            4 bytes |           16 bytes |   65,536 |       256 KB |  14,495.99 MB/s |  77,557.40 MB/s
      4 bytes |            4 bytes |           32 bytes |   65,536 |       256 KB |  14,480.77 MB/s |  75,764.16 MB/s
      4 bytes |            4 bytes |           64 bytes |   65,536 |       256 KB |  14,509.63 MB/s |  71,138.13 MB/s
      4 bytes |            4 bytes |          128 bytes |   65,536 |       256 KB |  14,493.58 MB/s |  45,757.37 MB/s
      4 bytes |            4 bytes |          256 bytes |   65,536 |       256 KB |  14,475.18 MB/s |  37,125.62 MB/s
      4 bytes |            4 bytes |          512 bytes |   65,536 |       256 KB |  14,445.66 MB/s |  30,664.06 MB/s
      4 bytes |            4 bytes |        1,024 bytes |   65,536 |       256 KB |  14,462.40 MB/s |  24,695.85 MB/s
      4 bytes |            4 bytes |        2,048 bytes |   65,536 |       256 KB |  14,506.42 MB/s |  24,281.81 MB/s
      4 bytes |            4 bytes |        4,096 bytes |   65,536 |       256 KB |  14,410.72 MB/s |  23,176.23 MB/s
      4 bytes |            4 bytes |        8,192 bytes |   65,536 |       256 KB |  14,465.59 MB/s |  22,811.20 MB/s
      4 bytes |            4 bytes |       16,384 bytes |   65,536 |       256 KB |  14,484.77 MB/s |  22,769.59 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |  14,514.45 MB/s |  77,305.81 MB/s
      4 bytes |            8 bytes |            8 bytes |   65,536 |       256 KB |  14,484.77 MB/s |  76,967.62 MB/s
      4 bytes |           16 bytes |           16 bytes |   65,536 |       256 KB |  14,499.20 MB/s |  76,785.00 MB/s
      4 bytes |           32 bytes |           32 bytes |   65,536 |       256 KB |  14,517.74 MB/s |  75,350.39 MB/s
      4 bytes |           64 bytes |           64 bytes |   65,536 |       256 KB |  11,367.96 MB/s |  44,987.82 MB/s
      4 bytes |          128 bytes |          128 bytes |   65,536 |       256 KB |  11,362.54 MB/s |  29,504.44 MB/s
      4 bytes |          256 bytes |          256 bytes |   65,536 |       256 KB |  11,326.70 MB/s |  25,473.13 MB/s
      4 bytes |          512 bytes |          512 bytes |   65,536 |       256 KB |  10,869.27 MB/s |  21,602.49 MB/s
      4 bytes |        1,024 bytes |        1,024 bytes |   65,536 |       256 KB |  10,543.58 MB/s |  14,440.89 MB/s
      4 bytes |        2,048 bytes |        2,048 bytes |   65,536 |       256 KB |  10,352.46 MB/s |  13,898.14 MB/s
