 chunk size   | source stride      | dest stride        | #chunks  | volume       | cudaMemcpy      | kernel          
==============+====================+====================+==========+==============+=================+=================
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     928.31 MB/s |   3,810.31 MB/s
      4 bytes |            8 bytes |            4 bytes |   65,536 |       256 KB |     880.30 MB/s |   3,187.14 MB/s
      4 bytes |           16 bytes |            4 bytes |   65,536 |       256 KB |     864.81 MB/s |   2,322.94 MB/s
      4 bytes |           32 bytes |            4 bytes |   65,536 |       256 KB |     833.69 MB/s |   1,372.96 MB/s
      4 bytes |           64 bytes |            4 bytes |   65,536 |       256 KB |     861.90 MB/s |     917.12 MB/s
      4 bytes |          128 bytes |            4 bytes |   65,536 |       256 KB |     735.67 MB/s |   1,100.21 MB/s
      4 bytes |          256 bytes |            4 bytes |   65,536 |       256 KB |     641.46 MB/s |   1,089.82 MB/s
      4 bytes |          512 bytes |            4 bytes |   65,536 |       256 KB |     533.53 MB/s |   1,091.64 MB/s
      4 bytes |        1,024 bytes |            4 bytes |   65,536 |       256 KB |     549.19 MB/s |   1,083.72 MB/s
      4 bytes |        2,048 bytes |            4 bytes |   65,536 |       256 KB |     332.43 MB/s |   1,095.11 MB/s
      4 bytes |        4,096 bytes |            4 bytes |   65,536 |       256 KB |     276.87 MB/s |   1,088.87 MB/s
      4 bytes |        8,192 bytes |            4 bytes |   65,536 |       256 KB |     327.65 MB/s |   1,091.75 MB/s
      4 bytes |       16,384 bytes |            4 bytes |   65,536 |       256 KB |     467.46 MB/s |   1,095.75 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     937.24 MB/s |   4,799.18 MB/s
      4 bytes |            4 bytes |            8 bytes |   65,536 |       256 KB |     938.06 MB/s |      71.48 MB/s
      4 bytes |            4 bytes |           16 bytes |   65,536 |       256 KB |     896.54 MB/s |      83.68 MB/s
      4 bytes |            4 bytes |           32 bytes |   65,536 |       256 KB |     906.41 MB/s |     113.19 MB/s
      4 bytes |            4 bytes |           64 bytes |   65,536 |       256 KB |     899.76 MB/s |     275.25 MB/s
      4 bytes |            4 bytes |          128 bytes |   65,536 |       256 KB |     876.13 MB/s |     147.65 MB/s
      4 bytes |            4 bytes |          256 bytes |   65,536 |       256 KB |     768.08 MB/s |     146.61 MB/s
      4 bytes |            4 bytes |          512 bytes |   65,536 |       256 KB |     738.45 MB/s |     145.00 MB/s
      4 bytes |            4 bytes |        1,024 bytes |   65,536 |       256 KB |     777.70 MB/s |     145.02 MB/s
      4 bytes |            4 bytes |        2,048 bytes |   65,536 |       256 KB |     622.81 MB/s |     145.03 MB/s
      4 bytes |            4 bytes |        4,096 bytes |   65,536 |       256 KB |     647.66 MB/s |     145.19 MB/s
      4 bytes |            4 bytes |        8,192 bytes |   65,536 |       256 KB |     617.41 MB/s |     147.88 MB/s
      4 bytes |            4 bytes |       16,384 bytes |   65,536 |       256 KB |     667.56 MB/s |     153.89 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     914.06 MB/s |   3,847.05 MB/s
      4 bytes |            8 bytes |            8 bytes |   65,536 |       256 KB |     873.86 MB/s |      71.32 MB/s
      4 bytes |           16 bytes |           16 bytes |   65,536 |       256 KB |   1,047.44 MB/s |      82.84 MB/s
      4 bytes |           32 bytes |           32 bytes |   65,536 |       256 KB |     975.45 MB/s |     109.04 MB/s
      4 bytes |           64 bytes |           64 bytes |   65,536 |       256 KB |     804.17 MB/s |     237.69 MB/s
      4 bytes |          128 bytes |          128 bytes |   65,536 |       256 KB |     559.31 MB/s |     138.68 MB/s
      4 bytes |          256 bytes |          256 bytes |   65,536 |       256 KB |     504.26 MB/s |     137.57 MB/s
      4 bytes |          512 bytes |          512 bytes |   65,536 |       256 KB |     402.25 MB/s |     136.86 MB/s
      4 bytes |        1,024 bytes |        1,024 bytes |   65,536 |       256 KB |     360.38 MB/s |     136.59 MB/s
      4 bytes |        2,048 bytes |        2,048 bytes |   65,536 |       256 KB |     217.78 MB/s |     136.88 MB/s
      4 bytes |        4,096 bytes |        4,096 bytes |   65,536 |       256 KB |     197.66 MB/s |     137.17 MB/s
      4 bytes |        8,192 bytes |        8,192 bytes |   65,536 |       256 KB |     175.02 MB/s |     139.16 MB/s
      4 bytes |       16,384 bytes |       16,384 bytes |   65,536 |       256 KB |     272.45 MB/s |     188.98 MB/s
==============+====================+====================+==========+==============+=================+=================
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,025.82 MB/s |   5,366.06 MB/s
      8 bytes |           16 bytes |            8 bytes |   65,536 |       512 KB |   1,839.26 MB/s |   4,521.81 MB/s
      8 bytes |           32 bytes |            8 bytes |   65,536 |       512 KB |   1,743.39 MB/s |   2,861.80 MB/s
      8 bytes |           64 bytes |            8 bytes |   65,536 |       512 KB |   1,736.00 MB/s |   1,961.58 MB/s
      8 bytes |          128 bytes |            8 bytes |   65,536 |       512 KB |   1,735.48 MB/s |   2,140.64 MB/s
      8 bytes |          256 bytes |            8 bytes |   65,536 |       512 KB |   1,651.78 MB/s |   2,132.91 MB/s
      8 bytes |          512 bytes |            8 bytes |   65,536 |       512 KB |   1,660.40 MB/s |   2,125.83 MB/s
      8 bytes |        1,024 bytes |            8 bytes |   65,536 |       512 KB |     955.52 MB/s |   2,127.85 MB/s
      8 bytes |        2,048 bytes |            8 bytes |   65,536 |       512 KB |     909.90 MB/s |   2,140.30 MB/s
      8 bytes |        4,096 bytes |            8 bytes |   65,536 |       512 KB |     874.06 MB/s |   2,128.88 MB/s
