 chunk size   | source stride      | dest stride        | #chunks  | volume       | cudaMemcpy      | kernel          
==============+====================+====================+==========+==============+=================+=================
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |   4,493.82 MB/s |  25,453.84 MB/s
      4 bytes |            8 bytes |            4 bytes |   65,536 |       256 KB |   4,496.88 MB/s |  19,955.54 MB/s
      4 bytes |           16 bytes |            4 bytes |   65,536 |       256 KB |   4,499.38 MB/s |  13,209.44 MB/s
      4 bytes |           32 bytes |            4 bytes |   65,536 |       256 KB |   4,514.48 MB/s |   8,278.41 MB/s
      4 bytes |           64 bytes |            4 bytes |   65,536 |       256 KB |   4,501.34 MB/s |   5,890.03 MB/s
      4 bytes |          128 bytes |            4 bytes |   65,536 |       256 KB |   4,537.39 MB/s |   6,687.76 MB/s
      4 bytes |          256 bytes |            4 bytes |   65,536 |       256 KB |   4,499.92 MB/s |   6,688.66 MB/s
      4 bytes |          512 bytes |            4 bytes |   65,536 |       256 KB |   4,496.67 MB/s |   6,687.77 MB/s
      4 bytes |        1,024 bytes |            4 bytes |   65,536 |       256 KB |   4,496.88 MB/s |   6,671.30 MB/s
      4 bytes |        2,048 bytes |            4 bytes |   65,536 |       256 KB |   4,499.89 MB/s |   6,691.07 MB/s
      4 bytes |        4,096 bytes |            4 bytes |   65,536 |       256 KB |   4,509.16 MB/s |   6,634.94 MB/s
      4 bytes |        8,192 bytes |            4 bytes |   65,536 |       256 KB |   4,500.16 MB/s |   6,685.22 MB/s
      4 bytes |       16,384 bytes |            4 bytes |   65,536 |       256 KB |   4,504.19 MB/s |   6,684.19 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |   4,506.47 MB/s |  25,720.82 MB/s
      4 bytes |            4 bytes |            8 bytes |   65,536 |       256 KB |   4,499.37 MB/s |  25,299.81 MB/s
      4 bytes |            4 bytes |           16 bytes |   65,536 |       256 KB |   4,497.87 MB/s |  25,514.54 MB/s
      4 bytes |            4 bytes |           32 bytes |   65,536 |       256 KB |   4,506.05 MB/s |  25,571.28 MB/s
      4 bytes |            4 bytes |           64 bytes |   65,536 |       256 KB |   4,513.94 MB/s |  25,402.78 MB/s
      4 bytes |            4 bytes |          128 bytes |   65,536 |       256 KB |   4,504.37 MB/s |  25,180.25 MB/s
      4 bytes |            4 bytes |          256 bytes |   65,536 |       256 KB |   4,500.67 MB/s |  25,072.59 MB/s
      4 bytes |            4 bytes |          512 bytes |   65,536 |       256 KB |   4,499.46 MB/s |  25,188.72 MB/s
      4 bytes |            4 bytes |        1,024 bytes |   65,536 |       256 KB |   4,499.55 MB/s |  25,119.68 MB/s
      4 bytes |            4 bytes |        2,048 bytes |   65,536 |       256 KB |   4,504.04 MB/s |  25,222.89 MB/s
      4 bytes |            4 bytes |        4,096 bytes |   65,536 |       256 KB |   4,495.91 MB/s |  25,183.88 MB/s
      4 bytes |            4 bytes |        8,192 bytes |   65,536 |       256 KB |   4,499.25 MB/s |  25,176.62 MB/s
      4 bytes |            4 bytes |       16,384 bytes |   65,536 |       256 KB |   4,525.68 MB/s |  24,950.65 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |   4,545.33 MB/s |  25,625.27 MB/s
      4 bytes |            8 bytes |            8 bytes |   65,536 |       256 KB |   4,496.44 MB/s |  19,918.09 MB/s
      4 bytes |           16 bytes |           16 bytes |   65,536 |       256 KB |   4,504.26 MB/s |  13,434.53 MB/s
      4 bytes |           32 bytes |           32 bytes |   65,536 |       256 KB |   4,514.22 MB/s |   8,296.38 MB/s
      4 bytes |           64 bytes |           64 bytes |   65,536 |       256 KB |   4,498.33 MB/s |   5,900.08 MB/s
      4 bytes |          128 bytes |          128 bytes |   65,536 |       256 KB |   4,500.07 MB/s |   6,699.84 MB/s
      4 bytes |          256 bytes |          256 bytes |   65,536 |       256 KB |   4,499.24 MB/s |   6,706.65 MB/s
      4 bytes |          512 bytes |          512 bytes |   65,536 |       256 KB |   4,457.96 MB/s |   6,704.09 MB/s
      4 bytes |        1,024 bytes |        1,024 bytes |   65,536 |       256 KB |   4,459.78 MB/s |   6,671.88 MB/s
