 chunk size   | source stride      | dest stride        | #chunks  | volume       | cudaMemcpy      | kernel          
==============+====================+====================+==========+==============+=================+=================
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |   1,202.63 MB/s |  17,489.09 MB/s
      4 bytes |            8 bytes |            4 bytes |   65,536 |       256 KB |   1,202.84 MB/s |  17,488.74 MB/s
      4 bytes |           16 bytes |            4 bytes |   65,536 |       256 KB |   1,203.02 MB/s |  17,571.86 MB/s
      4 bytes |           32 bytes |            4 bytes |   65,536 |       256 KB |   1,203.09 MB/s |  17,454.62 MB/s
      4 bytes |           64 bytes |            4 bytes |   65,536 |       256 KB |   1,202.91 MB/s |  17,438.83 MB/s
      4 bytes |          128 bytes |            4 bytes |   65,536 |       256 KB |   1,202.92 MB/s |  17,292.50 MB/s
      4 bytes |          256 bytes |            4 bytes |   65,536 |       256 KB |   1,202.85 MB/s |  17,334.81 MB/s
      4 bytes |          512 bytes |            4 bytes |   65,536 |       256 KB |   1,202.88 MB/s |  17,379.75 MB/s
      4 bytes |        1,024 bytes |            4 bytes |   65,536 |       256 KB |   1,201.94 MB/s |  17,386.55 MB/s
      4 bytes |        2,048 bytes |            4 bytes |   65,536 |       256 KB |   1,201.15 MB/s |  17,324.96 MB/s
      4 bytes |        4,096 bytes |            4 bytes |   65,536 |       256 KB |   1,201.33 MB/s |  17,329.31 MB/s
      4 bytes |        8,192 bytes |            4 bytes |   65,536 |       256 KB |   1,202.96 MB/s |  17,242.57 MB/s
      4 bytes |       16,384 bytes |            4 bytes |   65,536 |       256 KB |   1,202.93 MB/s |  17,284.18 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |   1,203.00 MB/s |  17,528.74 MB/s
      4 bytes |            4 bytes |            8 bytes |   65,536 |       256 KB |   1,203.23 MB/s |   1,927.36 MB/s
      4 bytes |            4 bytes |           16 bytes |   65,536 |       256 KB |   1,203.21 MB/s |   1,927.32 MB/s
      4 bytes |            4 bytes |           32 bytes |   65,536 |       256 KB |   1,203.09 MB/s |   1,824.52 MB/s
      4 bytes |            4 bytes |           64 bytes |   65,536 |       256 KB |   1,202.93 MB/s |   1,727.28 MB/s
      4 bytes |            4 bytes |          128 bytes |   65,536 |       256 KB |   1,038.89 MB/s |   1,045.54 MB/s
      4 bytes |            4 bytes |          256 bytes |   65,536 |       256 KB |   1,051.70 MB/s |   1,018.74 MB/s
      4 bytes |            4 bytes |          512 bytes |   65,536 |       256 KB |   1,063.86 MB/s |   1,020.94 MB/s
      4 bytes |            4 bytes |        1,024 bytes |   65,536 |       256 KB |     980.22 MB/s |     900.60 MB/s
      4 bytes |            4 bytes |        2,048 bytes |   65,536 |       256 KB |     720.19 MB/s |     872.52 MB/s
      4 bytes |            4 bytes |        4,096 bytes |   65,536 |       256 KB |     349.46 MB/s |     519.03 MB/s
      4 bytes |            4 bytes |        8,192 bytes |   65,536 |       256 KB |     195.72 MB/s |       7.59 MB/s
      4 bytes |            4 bytes |       16,384 bytes |   65,536 |       256 KB |     164.86 MB/s |       3.06 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |   1,351.46 MB/s |  18,224.95 MB/s
      4 bytes |            8 bytes |            8 bytes |   65,536 |       256 KB |   1,350.75 MB/s |   1,933.52 MB/s
      4 bytes |           16 bytes |           16 bytes |   65,536 |       256 KB |   1,350.97 MB/s |   1,933.68 MB/s
      4 bytes |           32 bytes |           32 bytes |   65,536 |       256 KB |   1,350.70 MB/s |   1,838.68 MB/s
      4 bytes |           64 bytes |           64 bytes |   65,536 |       256 KB |   1,349.55 MB/s |   1,729.11 MB/s
      4 bytes |          128 bytes |          128 bytes |   65,536 |       256 KB |   1,037.52 MB/s |   1,042.44 MB/s
      4 bytes |          256 bytes |          256 bytes |   65,536 |       256 KB |   1,053.54 MB/s |   1,019.69 MB/s
      4 bytes |          512 bytes |          512 bytes |   65,536 |       256 KB |   1,129.92 MB/s |   1,023.34 MB/s
      4 bytes |        1,024 bytes |        1,024 bytes |   65,536 |       256 KB |   1,033.07 MB/s |     892.67 MB/s
      4 bytes |        2,048 bytes |        2,048 bytes |   65,536 |       256 KB |     792.41 MB/s |     860.32 MB/s
      4 bytes |        4,096 bytes |        4,096 bytes |   65,536 |       256 KB |     392.19 MB/s |     440.62 MB/s
      4 bytes |        8,192 bytes |        8,192 bytes |   65,536 |       256 KB |     215.71 MB/s |       7.36 MB/s
      4 bytes |       16,384 bytes |       16,384 bytes |   65,536 |       256 KB |     163.87 MB/s |       3.04 MB/s
==============+====================+====================+==========+==============+=================+=================
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,701.95 MB/s |  21,564.72 MB/s
      8 bytes |           16 bytes |            8 bytes |   65,536 |       512 KB |   2,702.17 MB/s |  21,560.91 MB/s
      8 bytes |           32 bytes |            8 bytes |   65,536 |       512 KB |   2,702.36 MB/s |  21,587.10 MB/s
      8 bytes |           64 bytes |            8 bytes |   65,536 |       512 KB |   2,699.13 MB/s |  21,487.13 MB/s
      8 bytes |          128 bytes |            8 bytes |   65,536 |       512 KB |   2,699.35 MB/s |  21,595.63 MB/s
      8 bytes |          256 bytes |            8 bytes |   65,536 |       512 KB |   2,698.82 MB/s |  21,564.37 MB/s
      8 bytes |          512 bytes |            8 bytes |   65,536 |       512 KB |   2,698.92 MB/s |  21,537.88 MB/s
      8 bytes |        1,024 bytes |            8 bytes |   65,536 |       512 KB |   2,698.03 MB/s |  21,571.20 MB/s
      8 bytes |        2,048 bytes |            8 bytes |   65,536 |       512 KB |   2,698.11 MB/s |  21,498.67 MB/s
      8 bytes |        4,096 bytes |            8 bytes |   65,536 |       512 KB |   2,696.98 MB/s |  21,570.67 MB/s
      8 bytes |        8,192 bytes |            8 bytes |   65,536 |       512 KB |   2,701.67 MB/s |  21,642.26 MB/s
      8 bytes |       16,384 bytes |            8 bytes |   65,536 |       512 KB |   2,701.59 MB/s |  21,481.31 MB/s
      8 bytes |       32,768 bytes |            8 bytes |   65,536 |       512 KB |   2,696.55 MB/s |  21,573.86 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,702.36 MB/s |  21,618.52 MB/s
      8 bytes |            8 bytes |           16 bytes |   65,536 |       512 KB |   2,701.86 MB/s |   3,867.72 MB/s
      8 bytes |            8 bytes |           32 bytes |   65,536 |       512 KB |   2,701.89 MB/s |   3,593.88 MB/s
      8 bytes |            8 bytes |           64 bytes |   65,536 |       512 KB |   2,701.90 MB/s |   3,464.26 MB/s
      8 bytes |            8 bytes |          128 bytes |   65,536 |       512 KB |   2,074.18 MB/s |   2,090.67 MB/s
      8 bytes |            8 bytes |          256 bytes |   65,536 |       512 KB |   2,115.21 MB/s |   2,059.28 MB/s
      8 bytes |            8 bytes |          512 bytes |   65,536 |       512 KB |   2,271.60 MB/s |   2,029.88 MB/s
      8 bytes |            8 bytes |        1,024 bytes |   65,536 |       512 KB |   2,070.84 MB/s |   1,804.94 MB/s
      8 bytes |            8 bytes |        2,048 bytes |   65,536 |       512 KB |   1,617.09 MB/s |   1,767.19 MB/s
      8 bytes |            8 bytes |        4,096 bytes |   65,536 |       512 KB |     785.65 MB/s |   1,113.22 MB/s
      8 bytes |            8 bytes |        8,192 bytes |   65,536 |       512 KB |     443.01 MB/s |      14.70 MB/s
      8 bytes |            8 bytes |       16,384 bytes |   65,536 |       512 KB |     330.29 MB/s |       6.10 MB/s
      8 bytes |            8 bytes |       32,768 bytes |   65,536 |       512 KB |     295.18 MB/s |       4.06 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,701.61 MB/s |  21,571.11 MB/s
      8 bytes |           16 bytes |           16 bytes |   65,536 |       512 KB |   2,702.10 MB/s |   3,865.34 MB/s
      8 bytes |           32 bytes |           32 bytes |   65,536 |       512 KB |   2,701.69 MB/s |   3,641.79 MB/s
      8 bytes |           64 bytes |           64 bytes |   65,536 |       512 KB |   2,698.97 MB/s |   3,463.56 MB/s
      8 bytes |          128 bytes |          128 bytes |   65,536 |       512 KB |   2,072.55 MB/s |   2,091.74 MB/s
      8 bytes |          256 bytes |          256 bytes |   65,536 |       512 KB |   2,106.47 MB/s |   2,057.49 MB/s
      8 bytes |          512 bytes |          512 bytes |   65,536 |       512 KB |   2,262.05 MB/s |   2,055.51 MB/s
      8 bytes |        1,024 bytes |        1,024 bytes |   65,536 |       512 KB |   2,067.82 MB/s |   1,796.83 MB/s
      8 bytes |        2,048 bytes |        2,048 bytes |   65,536 |       512 KB |   1,583.54 MB/s |   1,716.60 MB/s
      8 bytes |        4,096 bytes |        4,096 bytes |   65,536 |       512 KB |     784.41 MB/s |     845.75 MB/s
      8 bytes |        8,192 bytes |        8,192 bytes |   65,536 |       512 KB |     432.50 MB/s |      14.84 MB/s
      8 bytes |       16,384 bytes |       16,384 bytes |   65,536 |       512 KB |     329.89 MB/s |       6.09 MB/s
      8 bytes |       32,768 bytes |       32,768 bytes |   65,536 |       512 KB |     295.10 MB/s |       4.06 MB/s
==============+====================+====================+==========+==============+=================+=================
     16 bytes |           16 bytes |           16 bytes |   65,536 |     1,024 KB |   5,404.33 MB/s |  23,745.73 MB/s
     16 bytes |           32 bytes |           16 bytes |   65,536 |     1,024 KB |   5,403.61 MB/s |  23,747.02 MB/s
     16 bytes |           64 bytes |           16 bytes |   65,536 |     1,024 KB |   5,400.08 MB/s |  23,744.23 MB/s
     16 bytes |          128 bytes |           16 bytes |   65,536 |     1,024 KB |   5,398.05 MB/s |  23,762.74 MB/s
     16 bytes |          256 bytes |           16 bytes |   65,536 |     1,024 KB |   5,396.59 MB/s |  23,744.34 MB/s
     16 bytes |          512 bytes |           16 bytes |   65,536 |     1,024 KB |   5,396.29 MB/s |  23,746.33 MB/s
     16 bytes |        1,024 bytes |           16 bytes |   65,536 |     1,024 KB |   5,396.69 MB/s |  23,752.89 MB/s
     16 bytes |        2,048 bytes |           16 bytes |   65,536 |     1,024 KB |   5,396.34 MB/s |  23,700.97 MB/s
     16 bytes |        4,096 bytes |           16 bytes |   65,536 |     1,024 KB |   5,393.60 MB/s |  23,744.12 MB/s
     16 bytes |        8,192 bytes |           16 bytes |   65,536 |     1,024 KB |   5,402.98 MB/s |  23,732.03 MB/s
     16 bytes |       16,384 bytes |           16 bytes |   65,536 |     1,024 KB |   5,403.16 MB/s |  23,731.49 MB/s
     16 bytes |       32,768 bytes |           16 bytes |   65,536 |     1,024 KB |   5,395.40 MB/s |  23,748.26 MB/s
     16 bytes |       65,536 bytes |           16 bytes |   65,536 |     1,024 KB |   5,393.94 MB/s |  23,700.86 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
     16 bytes |           16 bytes |           16 bytes |   65,536 |     1,024 KB |   5,402.15 MB/s |  23,757.68 MB/s
     16 bytes |           16 bytes |           32 bytes |   65,536 |     1,024 KB |   5,404.00 MB/s |   7,154.66 MB/s
     16 bytes |           16 bytes |           64 bytes |   65,536 |     1,024 KB |   5,404.48 MB/s |   6,899.40 MB/s
     16 bytes |           16 bytes |          128 bytes |   65,536 |     1,024 KB |   4,151.19 MB/s |   4,193.39 MB/s
     16 bytes |           16 bytes |          256 bytes |   65,536 |     1,024 KB |   4,220.51 MB/s |   4,101.70 MB/s
     16 bytes |           16 bytes |          512 bytes |   65,536 |     1,024 KB |   4,528.35 MB/s |   4,090.03 MB/s
     16 bytes |           16 bytes |        1,024 bytes |   65,536 |     1,024 KB |   4,129.69 MB/s |   3,575.03 MB/s
     16 bytes |           16 bytes |        2,048 bytes |   65,536 |     1,024 KB |   3,233.19 MB/s |   3,466.45 MB/s
     16 bytes |           16 bytes |        4,096 bytes |   65,536 |     1,024 KB |   1,571.21 MB/s |   1,809.93 MB/s
     16 bytes |           16 bytes |        8,192 bytes |   65,536 |     1,024 KB |     898.25 MB/s |      29.58 MB/s
     16 bytes |           16 bytes |       16,384 bytes |   65,536 |     1,024 KB |     660.81 MB/s |      12.22 MB/s
     16 bytes |           16 bytes |       32,768 bytes |   65,536 |     1,024 KB |     590.64 MB/s |       8.09 MB/s
     16 bytes |           16 bytes |       65,536 bytes |   65,536 |     1,024 KB |      13.18 MB/s |       7.45 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
     16 bytes |           16 bytes |           16 bytes |   65,536 |     1,024 KB |   5,400.37 MB/s |  23,737.56 MB/s
     16 bytes |           32 bytes |           32 bytes |   65,536 |     1,024 KB |   5,403.51 MB/s |   7,235.57 MB/s
     16 bytes |           64 bytes |           64 bytes |   65,536 |     1,024 KB |   5,397.62 MB/s |   6,890.57 MB/s
     16 bytes |          128 bytes |          128 bytes |   65,536 |     1,024 KB |   4,161.77 MB/s |   4,172.24 MB/s
     16 bytes |          256 bytes |          256 bytes |   65,536 |     1,024 KB |   4,200.30 MB/s |   4,092.27 MB/s
     16 bytes |          512 bytes |          512 bytes |   65,536 |     1,024 KB |   4,539.24 MB/s |   4,097.88 MB/s
     16 bytes |        1,024 bytes |        1,024 bytes |   65,536 |     1,024 KB |   4,120.62 MB/s |   3,601.28 MB/s
     16 bytes |        2,048 bytes |        2,048 bytes |   65,536 |     1,024 KB |   3,165.90 MB/s |   3,471.59 MB/s
     16 bytes |        4,096 bytes |        4,096 bytes |   65,536 |     1,024 KB |   1,568.77 MB/s |   2,051.51 MB/s
     16 bytes |        8,192 bytes |        8,192 bytes |   65,536 |     1,024 KB |     859.07 MB/s |      29.03 MB/s
     16 bytes |       16,384 bytes |       16,384 bytes |   65,536 |     1,024 KB |     659.98 MB/s |      12.18 MB/s
     16 bytes |       32,768 bytes |       32,768 bytes |   65,536 |     1,024 KB |      63.91 MB/s |       8.11 MB/s
