 chunk size   | source stride      | dest stride        | #chunks  | volume       | cudaMemcpy      | kernel          
==============+====================+====================+==========+==============+=================+=================
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     362.76 MB/s |  14,851.51 MB/s
      4 bytes |            8 bytes |            4 bytes |   65,536 |       256 KB |   1,080.50 MB/s |   9,308.33 MB/s
      4 bytes |           16 bytes |            4 bytes |   65,536 |       256 KB |   1,176.78 MB/s |   5,315.68 MB/s
      4 bytes |           32 bytes |            4 bytes |   65,536 |       256 KB |   1,175.48 MB/s |   2,862.24 MB/s
      4 bytes |           64 bytes |            4 bytes |   65,536 |       256 KB |   1,168.18 MB/s |   1,704.70 MB/s
      4 bytes |          128 bytes |            4 bytes |   65,536 |       256 KB |   1,154.20 MB/s |   1,165.07 MB/s
      4 bytes |          256 bytes |            4 bytes |   65,536 |       256 KB |   1,123.39 MB/s |   1,165.46 MB/s
      4 bytes |          512 bytes |            4 bytes |   65,536 |       256 KB |   1,088.81 MB/s |   1,165.38 MB/s
      4 bytes |        1,024 bytes |            4 bytes |   65,536 |       256 KB |   1,042.55 MB/s |   1,165.24 MB/s
      4 bytes |        2,048 bytes |            4 bytes |   65,536 |       256 KB |     931.98 MB/s |   1,164.71 MB/s
      4 bytes |        4,096 bytes |            4 bytes |   65,536 |       256 KB |     483.71 MB/s |   1,165.10 MB/s
      4 bytes |        8,192 bytes |            4 bytes |   65,536 |       256 KB |     310.22 MB/s |   1,162.40 MB/s
      4 bytes |       16,384 bytes |            4 bytes |   65,536 |       256 KB |     276.20 MB/s |   1,167.86 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     363.33 MB/s |  15,467.37 MB/s
      4 bytes |            4 bytes |            8 bytes |   65,536 |       256 KB |     363.28 MB/s |  15,546.90 MB/s
      4 bytes |            4 bytes |           16 bytes |   65,536 |       256 KB |     363.28 MB/s |  15,472.20 MB/s
      4 bytes |            4 bytes |           32 bytes |   65,536 |       256 KB |     363.08 MB/s |  15,486.65 MB/s
      4 bytes |            4 bytes |           64 bytes |   65,536 |       256 KB |     363.13 MB/s |  15,502.40 MB/s
      4 bytes |            4 bytes |          128 bytes |   65,536 |       256 KB |     363.53 MB/s |  15,378.44 MB/s
      4 bytes |            4 bytes |          256 bytes |   65,536 |       256 KB |     363.07 MB/s |  15,365.82 MB/s
      4 bytes |            4 bytes |          512 bytes |   65,536 |       256 KB |     363.39 MB/s |  15,332.21 MB/s
      4 bytes |            4 bytes |        1,024 bytes |   65,536 |       256 KB |     363.07 MB/s |  15,389.28 MB/s
      4 bytes |            4 bytes |        2,048 bytes |   65,536 |       256 KB |     363.30 MB/s |  15,264.45 MB/s
      4 bytes |            4 bytes |        4,096 bytes |   65,536 |       256 KB |     363.08 MB/s |  15,343.16 MB/s
      4 bytes |            4 bytes |        8,192 bytes |   65,536 |       256 KB |     363.08 MB/s |  15,374.92 MB/s
      4 bytes |            4 bytes |       16,384 bytes |   65,536 |       256 KB |     363.08 MB/s |  15,363.39 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |     363.28 MB/s |  15,456.42 MB/s
      4 bytes |            8 bytes |            8 bytes |   65,536 |       256 KB |   1,081.50 MB/s |   9,536.84 MB/s
      4 bytes |           16 bytes |           16 bytes |   65,536 |       256 KB |   1,176.48 MB/s |   5,387.13 MB/s
      4 bytes |           32 bytes |           32 bytes |   65,536 |       256 KB |   1,177.05 MB/s |   2,881.79 MB/s
      4 bytes |           64 bytes |           64 bytes |   65,536 |       256 KB |   1,176.74 MB/s |   1,710.31 MB/s
      4 bytes |          128 bytes |          128 bytes |   65,536 |       256 KB |   1,177.10 MB/s |   1,167.97 MB/s
      4 bytes |          256 bytes |          256 bytes |   65,536 |       256 KB |   1,176.30 MB/s |   1,168.05 MB/s
      4 bytes |          512 bytes |          512 bytes |   65,536 |       256 KB |   1,169.52 MB/s |   1,167.89 MB/s
      4 bytes |        1,024 bytes |        1,024 bytes |   65,536 |       256 KB |   1,139.28 MB/s |   1,168.04 MB/s
      4 bytes |        2,048 bytes |        2,048 bytes |   65,536 |       256 KB |   1,045.97 MB/s |   1,167.72 MB/s
      4 bytes |        4,096 bytes |        4,096 bytes |   65,536 |       256 KB |     543.10 MB/s |   1,167.65 MB/s
      4 bytes |        8,192 bytes |        8,192 bytes |   65,536 |       256 KB |     348.81 MB/s |   1,167.64 MB/s
      4 bytes |       16,384 bytes |       16,384 bytes |   65,536 |       256 KB |     299.26 MB/s |   1,167.91 MB/s
==============+====================+====================+==========+==============+=================+=================
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,157.48 MB/s |  18,958.92 MB/s
      8 bytes |           16 bytes |            8 bytes |   65,536 |       512 KB |   2,353.94 MB/s |  10,752.40 MB/s
      8 bytes |           32 bytes |            8 bytes |   65,536 |       512 KB |   2,354.94 MB/s |   5,751.36 MB/s
      8 bytes |           64 bytes |            8 bytes |   65,536 |       512 KB |   2,354.26 MB/s |   3,424.78 MB/s
      8 bytes |          128 bytes |            8 bytes |   65,536 |       512 KB |   2,354.78 MB/s |   2,335.98 MB/s
      8 bytes |          256 bytes |            8 bytes |   65,536 |       512 KB |   2,353.01 MB/s |   2,336.76 MB/s
      8 bytes |          512 bytes |            8 bytes |   65,536 |       512 KB |   2,340.78 MB/s |   2,333.84 MB/s
      8 bytes |        1,024 bytes |            8 bytes |   65,536 |       512 KB |   2,283.72 MB/s |   2,336.23 MB/s
      8 bytes |        2,048 bytes |            8 bytes |   65,536 |       512 KB |   2,093.78 MB/s |   2,334.33 MB/s
      8 bytes |        4,096 bytes |            8 bytes |   65,536 |       512 KB |   1,087.69 MB/s |   2,333.21 MB/s
      8 bytes |        8,192 bytes |            8 bytes |   65,536 |       512 KB |     696.35 MB/s |   2,335.64 MB/s
      8 bytes |       16,384 bytes |            8 bytes |   65,536 |       512 KB |     601.65 MB/s |   2,335.44 MB/s
      8 bytes |       32,768 bytes |            8 bytes |   65,536 |       512 KB |     516.61 MB/s |   1,011.15 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,159.48 MB/s |  19,036.77 MB/s
      8 bytes |            8 bytes |           16 bytes |   65,536 |       512 KB |   2,163.17 MB/s |  18,982.74 MB/s
      8 bytes |            8 bytes |           32 bytes |   65,536 |       512 KB |   2,162.26 MB/s |  18,990.71 MB/s
      8 bytes |            8 bytes |           64 bytes |   65,536 |       512 KB |   2,160.89 MB/s |  18,920.26 MB/s
      8 bytes |            8 bytes |          128 bytes |   65,536 |       512 KB |   2,160.78 MB/s |  18,825.90 MB/s
      8 bytes |            8 bytes |          256 bytes |   65,536 |       512 KB |   2,165.67 MB/s |  18,920.60 MB/s
      8 bytes |            8 bytes |          512 bytes |   65,536 |       512 KB |   2,160.99 MB/s |  18,912.28 MB/s
      8 bytes |            8 bytes |        1,024 bytes |   65,536 |       512 KB |   2,164.58 MB/s |  18,876.39 MB/s
      8 bytes |            8 bytes |        2,048 bytes |   65,536 |       512 KB |   2,160.36 MB/s |  18,849.92 MB/s
      8 bytes |            8 bytes |        4,096 bytes |   65,536 |       512 KB |   2,157.56 MB/s |  18,878.36 MB/s
      8 bytes |            8 bytes |        8,192 bytes |   65,536 |       512 KB |   2,155.89 MB/s |  18,984.80 MB/s
      8 bytes |            8 bytes |       16,384 bytes |   65,536 |       512 KB |   2,154.04 MB/s |  18,930.65 MB/s
      8 bytes |            8 bytes |       32,768 bytes |   65,536 |       512 KB |   2,155.70 MB/s |  18,895.37 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,164.40 MB/s |  18,829.55 MB/s
      8 bytes |           16 bytes |           16 bytes |   65,536 |       512 KB |   2,356.56 MB/s |  10,759.66 MB/s
      8 bytes |           32 bytes |           32 bytes |   65,536 |       512 KB |   2,354.83 MB/s |   5,753.53 MB/s
      8 bytes |           64 bytes |           64 bytes |   65,536 |       512 KB |   2,353.87 MB/s |   3,421.20 MB/s
      8 bytes |          128 bytes |          128 bytes |   65,536 |       512 KB |   2,354.40 MB/s |   2,336.23 MB/s
      8 bytes |          256 bytes |          256 bytes |   65,536 |       512 KB |   2,352.77 MB/s |   2,336.00 MB/s
