 chunk size   | source stride      | dest stride        | #chunks  | volume       | cudaMemcpy      | kernel          
==============+====================+====================+==========+==============+=================+=================
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |   1,066.82 MB/s |  10,953.20 MB/s
      4 bytes |            8 bytes |            4 bytes |   65,536 |       256 KB |   1,091.45 MB/s |   7,757.16 MB/s
      4 bytes |           16 bytes |            4 bytes |   65,536 |       256 KB |   1,057.05 MB/s |   4,796.72 MB/s
      4 bytes |           32 bytes |            4 bytes |   65,536 |       256 KB |   1,080.81 MB/s |   2,736.17 MB/s
      4 bytes |           64 bytes |            4 bytes |   65,536 |       256 KB |   1,081.95 MB/s |   1,779.10 MB/s
      4 bytes |          128 bytes |            4 bytes |   65,536 |       256 KB |   1,055.91 MB/s |   1,129.99 MB/s
      4 bytes |          256 bytes |            4 bytes |   65,536 |       256 KB |     776.25 MB/s |   1,130.10 MB/s
      4 bytes |          512 bytes |            4 bytes |   65,536 |       256 KB |     454.78 MB/s |   1,131.40 MB/s
      4 bytes |        1,024 bytes |            4 bytes |   65,536 |       256 KB |     382.98 MB/s |   1,129.02 MB/s
      4 bytes |        2,048 bytes |            4 bytes |   65,536 |       256 KB |     319.70 MB/s |   1,129.20 MB/s
      4 bytes |        4,096 bytes |            4 bytes |   65,536 |       256 KB |     272.89 MB/s |   1,129.19 MB/s
      4 bytes |        8,192 bytes |            4 bytes |   65,536 |       256 KB |     223.83 MB/s |   1,130.04 MB/s
      4 bytes |       16,384 bytes |            4 bytes |   65,536 |       256 KB |     200.06 MB/s |   1,130.54 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |   1,046.34 MB/s |  11,009.50 MB/s
      4 bytes |            4 bytes |            8 bytes |   65,536 |       256 KB |     984.99 MB/s |   1,815.94 MB/s
      4 bytes |            4 bytes |           16 bytes |   65,536 |       256 KB |   1,231.61 MB/s |   1,817.36 MB/s
      4 bytes |            4 bytes |           32 bytes |   65,536 |       256 KB |   1,229.40 MB/s |   1,813.39 MB/s
      4 bytes |            4 bytes |           64 bytes |   65,536 |       256 KB |   1,228.93 MB/s |   1,805.48 MB/s
      4 bytes |            4 bytes |          128 bytes |   65,536 |       256 KB |     997.17 MB/s |   1,738.91 MB/s
      4 bytes |            4 bytes |          256 bytes |   65,536 |       256 KB |     815.56 MB/s |   1,735.97 MB/s
      4 bytes |            4 bytes |          512 bytes |   65,536 |       256 KB |     599.04 MB/s |   1,107.50 MB/s
      4 bytes |            4 bytes |        1,024 bytes |   65,536 |       256 KB |     481.01 MB/s |     918.16 MB/s
      4 bytes |            4 bytes |        2,048 bytes |   65,536 |       256 KB |     433.68 MB/s |     907.45 MB/s
      4 bytes |            4 bytes |        4,096 bytes |   65,536 |       256 KB |     380.10 MB/s |     702.31 MB/s
      4 bytes |            4 bytes |        8,192 bytes |   65,536 |       256 KB |     339.43 MB/s |       8.56 MB/s
      4 bytes |            4 bytes |       16,384 bytes |   65,536 |       256 KB |     304.90 MB/s |       3.19 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      4 bytes |            4 bytes |            4 bytes |   65,536 |       256 KB |   1,066.94 MB/s |  11,192.93 MB/s
      4 bytes |            8 bytes |            8 bytes |   65,536 |       256 KB |   1,186.45 MB/s |   1,735.47 MB/s
      4 bytes |           16 bytes |           16 bytes |   65,536 |       256 KB |   1,634.65 MB/s |   1,571.38 MB/s
      4 bytes |           32 bytes |           32 bytes |   65,536 |       256 KB |   1,538.44 MB/s |   1,254.26 MB/s
      4 bytes |           64 bytes |           64 bytes |   65,536 |       256 KB |     999.38 MB/s |   1,055.62 MB/s
      4 bytes |          128 bytes |          128 bytes |   65,536 |       256 KB |     484.70 MB/s |     750.81 MB/s
      4 bytes |          256 bytes |          256 bytes |   65,536 |       256 KB |     304.62 MB/s |     658.42 MB/s
      4 bytes |          512 bytes |          512 bytes |   65,536 |       256 KB |     255.36 MB/s |     600.99 MB/s
      4 bytes |        1,024 bytes |        1,024 bytes |   65,536 |       256 KB |     233.25 MB/s |     541.36 MB/s
      4 bytes |        2,048 bytes |        2,048 bytes |   65,536 |       256 KB |     214.79 MB/s |     543.37 MB/s
      4 bytes |        4,096 bytes |        4,096 bytes |   65,536 |       256 KB |     182.68 MB/s |     397.94 MB/s
      4 bytes |        8,192 bytes |        8,192 bytes |   65,536 |       256 KB |     162.68 MB/s |       8.70 MB/s
      4 bytes |       16,384 bytes |       16,384 bytes |   65,536 |       256 KB |     152.79 MB/s |       3.35 MB/s
==============+====================+====================+==========+==============+=================+=================
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,384.35 MB/s |  12,568.24 MB/s
      8 bytes |           16 bytes |            8 bytes |   65,536 |       512 KB |   2,210.02 MB/s |   8,397.93 MB/s
      8 bytes |           32 bytes |            8 bytes |   65,536 |       512 KB |   2,183.27 MB/s |   5,080.42 MB/s
      8 bytes |           64 bytes |            8 bytes |   65,536 |       512 KB |   2,223.07 MB/s |   3,490.68 MB/s
      8 bytes |          128 bytes |            8 bytes |   65,536 |       512 KB |   2,188.70 MB/s |   2,205.44 MB/s
      8 bytes |          256 bytes |            8 bytes |   65,536 |       512 KB |   1,654.13 MB/s |   2,208.81 MB/s
      8 bytes |          512 bytes |            8 bytes |   65,536 |       512 KB |     976.63 MB/s |   2,207.15 MB/s
      8 bytes |        1,024 bytes |            8 bytes |   65,536 |       512 KB |     821.15 MB/s |   2,203.25 MB/s
      8 bytes |        2,048 bytes |            8 bytes |   65,536 |       512 KB |     683.67 MB/s |   2,201.85 MB/s
      8 bytes |        4,096 bytes |            8 bytes |   65,536 |       512 KB |     594.56 MB/s |   2,201.31 MB/s
      8 bytes |        8,192 bytes |            8 bytes |   65,536 |       512 KB |     481.79 MB/s |   2,198.71 MB/s
      8 bytes |       16,384 bytes |            8 bytes |   65,536 |       512 KB |     431.79 MB/s |   2,199.17 MB/s
      8 bytes |       32,768 bytes |            8 bytes |   65,536 |       512 KB |     416.59 MB/s |   1,019.72 MB/s
--------------+--------------------+--------------------+----------+--------------+-----------------+-----------------
      8 bytes |            8 bytes |            8 bytes |   65,536 |       512 KB |   2,365.37 MB/s |  12,595.08 MB/s
      8 bytes |            8 bytes |           16 bytes |   65,536 |       512 KB |   2,469.36 MB/s |   3,466.35 MB/s
